N1	N2	Na	Tsplit
1.85611	2.06059	1.80587	0.25999
3.80712	3.19721	2.32884	1.12451
0.79722	4.89776	2.92597	3.32729
2.05295	0.95668	2.94616	0.21628
3.78030	0.15371	0.39498	2.05266
0.02842	2.88616	4.35432	2.86729
2.27770	2.64173	2.99786	0.98876
2.05540	4.09255	0.35037	1.81667
3.22307	0.59654	1.70047	3.52305
1.64135	2.66998	1.47560	3.83516
2.90311	3.68504	2.25673	1.16372
0.84058	4.71079	0.43296	1.16844
3.53014	1.77770	3.46764	3.74334
3.97603	1.95815	3.63166	2.01763
0.05533	4.66590	1.11931	2.45553
3.22953	1.79064	4.25257	3.56790
2.82893	0.03800	3.93857	3.11028
0.87522	4.87434	4.87076	1.61846
1.76474	3.85086	4.11587	3.94575
4.42761	2.88283	0.72747	2.56759
1.60067	4.62534	2.89234	2.48760
1.52325	3.65213	0.81638	2.44178
0.33665	1.53628	0.94362	1.62346
1.16806	0.69006	3.64161	2.82464
2.29925	1.74083	0.01657	1.80967
0.38141	4.51765	3.25454	2.56175
1.17205	3.23280	4.90350	3.43766
0.06288	2.78213	4.13447	2.93935
3.86225	0.93260	4.35874	3.12164
1.81323	2.39235	2.11629	0.63188
2.40452	4.36378	3.47006	2.80179
1.10454	4.85020	0.36922	2.23896
0.03658	1.90701	4.84023	0.83767
4.11298	0.75911	4.64337	3.76561
3.40757	0.18180	3.27846	0.05348
1.35608	2.82085	2.39507	3.88554
2.71548	3.10648	1.95799	1.14893
4.50419	1.10771	4.61991	0.76729
3.78174	3.45460	3.79078	1.67140
1.84543	3.12248	4.61669	1.65869
4.86356	0.42766	1.39755	2.14605
2.35365	2.68070	4.15240	0.52471
1.79735	0.53250	3.24687	0.02976
4.35009	1.19304	4.89244	1.66838
3.79197	1.18812	3.42527	3.40001
3.75395	2.05758	4.10861	3.90484
2.76308	3.81033	2.30519	0.33942
3.70062	1.28351	2.55762	1.97259
0.66486	3.04060	0.59316	0.42857
2.84838	0.30127	2.67440	1.88324
2.19196	3.11119	3.22524	0.98826
0.02762	1.71125	0.01681	3.64686
4.28076	2.87245	3.31142	3.99890
4.37826	4.80623	2.14561	0.02410
3.08004	2.19060	4.69576	2.69767
4.41518	3.86631	1.60238	1.06197
1.73113	0.54120	0.77366	3.11483
2.07245	4.69102	1.14537	0.46369
2.07070	2.38079	2.92693	1.09326
1.98372	4.03061	2.52206	3.88747
2.70405	2.54120	4.82507	1.47805
4.82214	1.30908	0.01366	3.18293
4.41565	2.28098	3.61927	3.35801
2.01572	1.58489	4.35745	0.53343
3.97002	0.52398	0.92963	1.68106
4.24803	4.54808	4.72626	0.14343
4.66287	3.52209	3.12016	0.73459
1.52152	3.22915	3.97147	0.33652
4.44998	2.14353	4.31106	0.94484
2.20070	1.91475	0.39703	0.87816
4.96317	3.14588	0.51386	2.06313
0.53855	3.49612	0.01199	1.79717
0.03852	3.05524	0.12003	2.24330
4.16922	2.87987	1.40003	2.69469
0.09885	0.47598	2.04540	0.40899
1.42229	2.42870	0.23526	0.13640
3.40942	2.03973	3.74327	0.32731
1.83913	3.80427	1.61401	0.10355
2.66857	2.73603	3.50321	0.15741
0.94322	1.48870	0.31196	2.03767
4.62898	0.31630	3.72618	3.18644
3.56437	2.66088	1.57157	1.47134
1.44663	2.56144	4.06459	0.24077
4.84217	4.26596	2.58314	2.76537
0.49828	0.64973	3.86410	2.70461
2.96566	3.68087	0.33261	3.60752
2.88326	3.38919	2.40343	0.88438
0.72903	4.34584	2.94958	2.86368
1.63158	3.03620	0.94209	2.92820
1.64680	3.55881	4.40308	3.16611
1.74409	0.63094	2.08667	3.05459
0.04735	0.32573	2.58698	0.41958
3.14116	2.09238	4.88417	2.43246
1.92725	3.68820	1.63368	3.70793
1.00442	3.72063	3.14389	3.36571
2.57036	0.51219	0.95559	1.98662
3.88854	1.40453	2.86871	0.89906
1.49523	4.97341	3.82763	1.72863
